row_key,ags,municipality_name,gebietsart,gebietsnummer,wahlkreisnummer,wahlbezirk_name,wahllokal,reported_precincts,total_precincts,voters_total,valid_votes_erst,valid_votes_zweit,voters_total_2021,valid_votes_erst_2021,valid_votes_zweit_2021,delta_voters_total_vs_2021,delta_valid_votes_erst_vs_2021,delta_valid_votes_zweit_vs_2021,payload_hash,is_municipality_summary
berlin:WAHLKREIS:1,,,WAHLKREIS,1,1,,,48,51,23987,23744,23841,,,,,,,377ae4a01cd3aae23f12a9d0f5855a96f4ba3c647783b1cf94b6bf51675c3ad4,False
berlin:WAHLKREIS:2,,,WAHLKREIS,2,2,,,51,51,25192,24783,24957,,,,,,,a75dffc06f3a811dad9c9d6f21a427a401dc8929d4e45af4067340f62aa4b7f7,False
berlin:WAHLKREIS:3,,,WAHLKREIS,3,3,,,48,48,23195,22883,23034,,,,,,,448933fd467ccb765cdfa316ea3ac550d1b050e9dc4f37359366acbd32dfb8b7,False
berlin:WAHLKREIS:4,,,WAHLKREIS,4,4,,,45,45,21434,21153,21252,,,,,,,67314acd22cbfea040d752ad9a290ab9faa25d4b599a891d4973a5ef8f9d7b87,False
berlin:WAHLKREIS:5,,,WAHLKREIS,5,5,,,44,44,18679,18199,18429,,,,,,,640c535a9eaee93d4a25b5a76f79f98b88d9f022422c0ff5b6dc2bc27ab8c4fc,False
berlin:WAHLKREIS:6,,,WAHLKREIS,6,6,,,43,44,17708,17379,17528,,,,,,,46a9f6c31759cc9be5cb69709aa7420c355d1a1e5cb0851aab0678f2c008987b,False
berlin:WAHLKREIS:7,,,WAHLKREIS,7,7,,,44,45,18824,18468,18621,,,,,,,8672b2c4ab020b8b4b9b8e2145801fb04a2bc7334c25965fd73d79a4f063897c,False
berlin:WAHLKREIS:8,,,WAHLKREIS,8,8,,,49,53,20698,20405,20441,,,,,,,c3bf4434e414f22c934e552e3b9c63a29642734c805c47ff14dab148c696726d,False
berlin:WAHLKREIS:9,,,WAHLKREIS,9,9,,,63,68,25102,24828,24960,,,,,,,e61a6841f894b862a4ffaf3fd6463537bdbb004612c503fd57feba42ec54ffc1,False
berlin:WAHLKREIS:10,,,WAHLKREIS,10,10,,,68,71,26174,25903,26032,,,,,,,069e2176f8426723be1c3b3950cb759f8a76de58b3dd393ebc04df92bd6a56d3,False
berlin:WAHLKREIS:11,,,WAHLKREIS,11,11,,,65,68,25920,25489,25681,,,,,,,3c9bdabd113e9ef869175e5c7359386b84aa3c342b0954c507de35fa3160e0d5,False
berlin:WAHLKREIS:12,,,WAHLKREIS,12,12,,,68,68,27890,27657,27745,,,,,,,80b19610c75b493ba0a2eb90392e0e17ee5825eec04bfea8a2f289195db06657,False
berlin:WAHLKREIS:13,,,WAHLKREIS,13,13,,,59,59,26241,25750,25899,,,,,,,a12b6570a70a86e3842591470e974d553f4ca43c5273fde9f20424fa4f6e1031,False
berlin:WAHLKREIS:14,,,WAHLKREIS,14,14,,,57,57,26791,26374,26511,,,,,,,e12d5f92b8efb3a5ab6f5429b8d4d7590361e3adbc784f4a3652b8ec81fe5b28,False
berlin:WAHLKREIS:15,,,WAHLKREIS,15,15,,,59,60,27513,27151,27282,,,,,,,e97474e03067de11b9857b11ccaa810c6597418ba057f5cfb7ff7febcbcd6a19,False
berlin:WAHLKREIS:16,,,WAHLKREIS,16,16,,,49,50,21688,21308,21430,,,,,,,4cd9ad27daf0d12da22794a3ae48da5f7a5355921389101a03686270d9968174,False
berlin:WAHLKREIS:17,,,WAHLKREIS,17,17,,,49,51,23334,22982,23129,,,,,,,9f529fc75096a68df0798234af8e36e1338bae983c7cc2ebf9faadaa178c1e04,False
berlin:WAHLKREIS:18,,,WAHLKREIS,18,18,,,55,56,26305,26100,26184,,,,,,,1c3e37c187cde6e40a6846f60069a35e156d6d920a1f4f75918f30a396b83a9d,False
berlin:WAHLKREIS:19,,,WAHLKREIS,19,19,,,52,52,23992,23752,23827,,,,,,,0018388036e06dedece7fde2c64c27d83c423331941989435c517534e8840151,False
berlin:WAHLKREIS:20,,,WAHLKREIS,20,20,,,50,50,24988,24798,24876,,,,,,,335f32ff512d7a6655c70128e8fe63ce8933a2a1668e25f82613fbe2d6c9e28c,False
berlin:WAHLKREIS:21,,,WAHLKREIS,21,21,,,58,58,26744,26407,26458,,,,,,,4c85cec48d3d3d0f4a1a4501acd663b7d38163149486b8a298750605f3b7b7ed,False
berlin:WAHLKREIS:22,,,WAHLKREIS,22,22,,,42,43,19604,19276,19384,,,,,,,23c531b7392b24fc25699e104a61fb69c1d8c794de97534b09b6f6f1aa5ea625,False
