event_time_utc,source,ags,municipality_name,event_type,details_json
2026-03-08T17:50:18.341222+00:00,kommone,08437114,"Veringenstadt, Stadt",RESULT_UPDATED,"{""current_hash"": ""b424dec315696bafff39c03a6ffb38a1f61f426d5501e02cac380f95b0150080"", ""previous_hash"": ""6b8949c50564f6a91a6049b9f754cd0c733bb1e4a6f4389b967c555e0950b8bd""}"
2026-03-08T17:50:18.341203+00:00,kommone,08437107,Stetten am kalten Markt,RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.341174+00:00,kommone,08437104,"Sigmaringen, Stadt",RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.341137+00:00,kommone,08437100,"Bad Saulgau, Stadt",RESULT_UPDATED,"{""current_hash"": ""3ffaca2c03b4afcbde5ecce5a27f3d6c99b39ec3a84363771d8dd10b4d8cef52"", ""previous_hash"": ""007d5343f714e00bd173c735947f047b13c5cf45f1bbc0c807ac2ce49cb68b66""}"
2026-03-08T17:50:18.341118+00:00,kommone,08437088,"Pfullendorf, Stadt",RESULT_UPDATED,"{""current_hash"": ""f190199b5e6896f918974d54a18599a6e11c8b464f0745951de440a8d1a374e7"", ""previous_hash"": ""15aeb91c491f3196c39783ce59829af65d9d5ce26ecb088662081f3047d4a3ec""}"
2026-03-08T17:50:18.341081+00:00,kommone,08437078,"Meßkirch, Stadt",RESULT_UPDATED,"{""current_hash"": ""c0663eb8130371fe548ef295060b1bdf02d452f445e89c3f647fca4d6e536916"", ""previous_hash"": ""634987eb9e0b7ca3b27c9c50628e62fd9600ab52c2ac4a2912649913df51b46e""}"
2026-03-08T17:50:18.341056+00:00,kommone,08437072,Leibertingen,RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.341038+00:00,kommone,08437065,Krauchenwies,RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.340987+00:00,kommone,08437044,Herbertingen,RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.340964+00:00,kommone,08437031,"Gammertingen, Stadt",RESULT_UPDATED,"{""current_hash"": ""c3f98ab2ca0f75306bf86716ffaf2f8fb1838620f60e90ed8c538108eb76434a"", ""previous_hash"": ""2af4c2ba15b5abb7778f659db77cd1b0bcfb0b14e0ea16f1dfe5761ee714e0c9""}"
