row_key,ags,municipality_name,gebietsart,gebietsnummer,wahlkreisnummer,wahlbezirk_name,wahllokal,reported_precincts,total_precincts,voters_total,valid_votes_erst,valid_votes_zweit,voters_total_2021,valid_votes_erst_2021,valid_votes_zweit_2021,delta_voters_total_vs_2021,delta_valid_votes_erst_vs_2021,delta_valid_votes_zweit_vs_2021,payload_hash,is_municipality_summary
lsa:GEMEINDE:15001000,15001000,"Dessau-Roßlau, Stadt",GEMEINDE,15001000,,,,74,79,43498,42883,43058,,,,,,,962c9e5b72dd094fc571390c06b111cb19da34ba04885be23dd44b083842a481,True
lsa:GEMEINDE:15002000,15002000,"Halle (Saale), Stadt",GEMEINDE,15002000,,,,151,186,105320,104248,104403,,,,,,,9081881df90241f142f81ef502ddc12378e9576908c181aa10175be7a0d43901,True
lsa:GEMEINDE:15003000,15003000,"Magdeburg, Landeshauptstadt",GEMEINDE,15003000,,,,201,218,126971,125976,126037,,,,,,,38fa1d9717ba761a6b1365da8ee37954e5efc6d7afcf6d6e4fd0e8786230aeae,True
lsa:GEMEINDE:15081026,15081026,"Apenburg-Winterfeld, Flecken",GEMEINDE,15081026,,,,3,4,947,934,933,,,,,,,f9187e506d1a0620532ea1518306f64eedc6cb1f68b0293be22b08a65dd165c1,True
lsa:GEMEINDE:15081030,15081030,"Arendsee (Altmark), Stadt",GEMEINDE,15081030,,,,16,17,3268,3223,3229,,,,,,,df92aa11e519eb39b03b8d9f6a8a2a8f7de78c2c75f3b05feb7a27a31831da00,True
lsa:GEMEINDE:15081045,15081045,Beetzendorf,GEMEINDE,15081045,,,,5,7,687,684,684,,,,,,,4feb4fae693a7f4619cbb796200588eedd50cddc9318e343fb2d894b534f312b,True
lsa:GEMEINDE:15081095,15081095,Dähre,GEMEINDE,15081095,,,,2,3,717,712,710,,,,,,,bc113fd118e6be86038437016b39bccac339ae1cc93894ffc644b96ccd2bd0e7,True
lsa:GEMEINDE:15081105,15081105,"Diesdorf, Flecken",GEMEINDE,15081105,,,,0,2,0,0,0,,,,,,,10c5a751c1e5b35e4483b3ad1ccf06fbe61704370fedf5a4950800bc68ee3478,True
lsa:GEMEINDE:15081135,15081135,"Gardelegen, Hansestadt",GEMEINDE,15081135,,,,34,40,9452,9341,9342,,,,,,,093d09f13069cae9204a60310cf68fe727ac7c7620db870b968d116412b310f3,True
lsa:GEMEINDE:15081225,15081225,Jübar,GEMEINDE,15081225,,,,5,6,853,847,846,,,,,,,ea9ccd8f6e1b756e58b9c2d3bc5d7fdc5fda011202826177ea586217904db657,True
lsa:GEMEINDE:15081240,15081240,"Kalbe (Milde), Stadt",GEMEINDE,15081240,,,,14,18,2581,2554,2556,,,,,,,32fd370188dfdd3a92a0bc8ba3920187412c3a67ed305f2009954417e9e1d070,True
lsa:GEMEINDE:15081280,15081280,"Klötze, Stadt",GEMEINDE,15081280,,,,15,19,3670,3628,3625,,,,,,,d6ddc7c324147a82669b6bdc8eb7a9a732dfd5921cec53cca2b67ead7632d0e7,True
lsa:GEMEINDE:15081290,15081290,Kuhfelde,GEMEINDE,15081290,,,,4,4,708,699,700,,,,,,,6894b23250cd5085295da52d842f68b8683691450ca23db3df7d175bd51426cc,True
lsa:GEMEINDE:15081440,15081440,Rohrberg,GEMEINDE,15081440,,,,3,4,592,589,587,,,,,,,bb5209d5eb3e833e82e4d2bde68b2e75a2cd16fc038213eca34d50feef1c529d,True
