ags,gemeinde,urnenwahlbezirke,urnenwahlbezirke_afd_ueber_50,anteil_qualifizierender_urnenwahlbezirke_prozent,briefwahlbezirke,briefwahlbezirke_afd_ueber_50,kartenkategorie
15001000,"Dessau-Roßlau, Stadt",57,17,29.82456140350877,22,0,ein_teil
15002000,"Halle (Saale), Stadt",126,24,19.047619047619047,60,0,ein_teil
15003000,"Magdeburg, Landeshauptstadt",148,30,20.27027027027027,70,0,ein_teil
15081026,"Apenburg-Winterfeld, Flecken",3,0,0.0,1,0,keiner
15081030,"Arendsee (Altmark), Stadt",16,7,43.75,1,0,ein_teil
15081045,Beetzendorf,6,3,50.0,1,0,ein_teil
15081095,Dähre,2,0,0.0,1,0,keiner
15081105,"Diesdorf, Flecken",1,0,0.0,1,0,keiner
15081135,"Gardelegen, Hansestadt",37,9,24.324324324324323,3,0,ein_teil
15081225,Jübar,5,4,80.0,1,0,ein_teil
15081240,"Kalbe (Milde), Stadt",17,7,41.1764705882353,1,0,ein_teil
15081280,"Klötze, Stadt",17,2,11.764705882352942,2,0,ein_teil
15081290,Kuhfelde,3,2,66.66666666666667,1,0,ein_teil
15081440,Rohrberg,3,2,66.66666666666667,1,0,ein_teil
15081455,"Salzwedel, Hansestadt",21,5,23.80952380952381,4,0,ein_teil
15081545,Wallstawe,2,1,50.0,1,0,ein_teil
15082005,"Aken (Elbe), Stadt",9,6,66.66666666666667,1,0,ein_teil
15082015,"Bitterfeld-Wolfen, Stadt",25,21,84.0,6,0,ein_teil
15082180,"Köthen (Anhalt), Stadt",22,15,68.18181818181819,2,0,ein_teil
15082241,Muldestausee,13,12,92.3076923076923,3,0,ein_teil
15082256,Osternienburger Land,18,17,94.44444444444444,1,0,ein_teil
15082301,"Raguhn-Jeßnitz, Stadt",10,10,100.0,1,0,alle
15082340,"Sandersdorf-Brehna, Stadt",14,12,85.71428571428571,3,0,ein_teil
15082377,"Südliches Anhalt, Stadt",27,18,66.66666666666667,1,0,ein_teil
15082430,"Zerbst/Anhalt, Stadt",33,22,66.66666666666667,3,0,ein_teil
15082440,"Zörbig, Stadt",12,12,100.0,1,0,alle
15083020,Altenhausen,3,1,33.333333333333336,1,0,ein_teil
15083025,Am Großen Bruch,4,4,100.0,1,0,alle
15083030,Angern,4,1,25.0,1,0,ein_teil
15083035,Ausleben,2,2,100.0,1,0,alle
15083040,Barleben,5,3,60.0,3,0,ein_teil
15083060,Beendorf,1,1,100.0,1,0,alle
15083115,Bülstringen,2,1,50.0,1,0,ein_teil
15083120,Burgstall,4,4,100.0,1,0,alle
15083125,Calvörde,8,4,50.0,1,0,ein_teil
15083130,Colbitz,3,3,100.0,1,0,alle
15083190,Eilsleben,5,2,40.0,1,0,ein_teil
15083205,Erxleben,5,3,60.0,1,0,ein_teil
15083230,Flechtingen,4,1,25.0,1,0,ein_teil
15083245,"Gröningen, Stadt",5,5,100.0,1,0,alle
15083270,"Haldensleben, Stadt",14,8,57.142857142857146,3,0,ein_teil
15083275,Harbke,1,0,0.0,1,0,keiner
15083298,Hohe Börde,16,15,93.75,4,0,ein_teil
15083320,Hötensleben,4,4,100.0,1,0,alle
15083323,Ingersleben,4,3,75.0,1,0,ein_teil
15083355,"Kroppenstedt, Stadt",1,1,100.0,1,0,alle
15083361,Loitsche-Heinrichsberg,2,2,100.0,1,0,alle
15083390,Niedere Börde,9,6,66.66666666666667,1,0,ein_teil
15083411,"Oebisfelde-Weferlingen, Stadt",26,9,34.61538461538461,2,0,ein_teil
