Berichtszeitpunkt,_RS,Name,Reg_Ebene,0_Insgesamt_,HH_SIZE_NAT__1,HH_SIZE_NAT__2,HH_SIZE_NAT__3,HH_SIZE_NAT__4,HH_SIZE_NAT__5,HH_SIZE_NAT__6,HHTYP_FAM__1,HHTYP_FAM__2,HHTYP_FAM__3,HHTYP_FAM__4,HHTYP_FAM__5,HHTYP_LEB__1,HHTYP_LEB__2,HHTYP_LEB__3,HHTYP_LEB__4,HHTYP_LEB__5,HHTYP_LEB__6,HHTYP_LEB__7,HHTYP_SENIOR_HH__1,HHTYP_SENIOR_HH__2,HHTYP_SENIOR_HH__3,ags
20220515,150010000000,"Dessau-Roßlau, Stadt",Gemeinde,42165,20381,14649,4188,2061,571,318,20381,12297,5398,3229,864,20381,14772,20,2902,2691,536,864,14534,2797,24837,15001000
20220515,150020000000,"Halle (Saale), Stadt",Gemeinde,129262,70907,37067,11626,6449,2084,1135,70907,28424,14865,10588,4479,70907,33505,43,9745,8904,1682,4479,34936,5297,89027,15002000
20220515,150030000000,"Magdeburg, Landeshauptstadt",Gemeinde,134501,70204,40266,13331,7292,2161,1251,70204,32171,18150,10022,3957,70204,38396,59,11869,8742,1279,3957,35520,6412,92575,15003000
20220515,150810030030,"Arendsee (Altmark), Stadt",Gemeinde,3094,1174,1101,424,242,92,53,1174,975,630,255,66,1174,1317,–,285,198,53,66,895,384,1815,15081030
20220515,150810135135,"Gardelegen, Hansestadt",Gemeinde,10698,4235,3737,1514,865,235,114,4235,3121,2163,988,188,4235,4407,4,873,836,156,188,2753,1091,6852,15081135
20220515,150810240240,"Kalbe (Milde), Stadt",Gemeinde,3394,1264,1197,479,299,93,59,1264,1022,747,301,57,1264,1505,3,262,219,81,57,901,414,2077,15081240
20220515,150810280280,"Klötze, Stadt",Gemeinde,4768,1827,1690,707,404,103,40,1827,1395,1031,431,84,1827,2048,–,378,352,82,84,1252,543,2971,15081280
20220515,150810455455,"Salzwedel, Hansestadt",Gemeinde,11766,5278,4033,1363,733,232,126,5278,3317,1890,1032,246,5278,4380,–,829,822,208,246,3397,1050,7318,15081455
20220515,150815051026,"Apenburg-Winterfeld, Flecken",Gemeinde,745,241,278,107,83,17,14,241,230,181,75,17,241,351,–,65,55,23,17,194,99,446,15081026
20220515,150815051045,Beetzendorf,Gemeinde,1362,525,452,196,119,35,26,525,394,297,124,19,525,561,–,131,96,31,19,369,168,825,15081045
20220515,150815051095,Dähre,Gemeinde,647,224,253,81,52,24,12,224,215,145,59,9,224,295,–,63,44,13,9,159,91,399,15081095
20220515,150815051105,"Diesdorf, Flecken",Gemeinde,981,330,364,139,106,29,15,330,309,236,95,15,330,448,–,96,75,17,15,255,128,597,15081105
20220515,150815051225,Jübar,Gemeinde,688,218,248,107,76,26,16,218,204,177,75,16,218,301,–,80,57,20,16,162,109,414,15081225
20220515,150815051290,Kuhfelde,Gemeinde,454,130,169,86,37,24,9,130,161,121,32,11,130,240,–,43,25,7,11,102,60,287,15081290
20220515,150815051440,Rohrberg,Gemeinde,462,145,179,72,46,14,7,145,159,117,36,8,145,228,–,49,29,10,8,117,54,290,15081440
20220515,150815051545,Wallstawe,Gemeinde,359,91,136,64,40,13,9,91,125,103,27,9,91,201,–,25,20,3,9,72,68,219,15081545
20220515,150820005005,"Aken (Elbe), Stadt",Gemeinde,3805,1541,1508,455,207,58,35,1541,1295,606,298,64,1541,1594,–,306,246,52,64,1253,327,2224,15082005
20220515,150820015015,"Bitterfeld-Wolfen, Stadt",Gemeinde,20171,9948,6858,1959,944,275,188,9948,5580,2502,1687,453,9948,6552,4,1528,1398,288,453,6775,1322,12077,15082015
20220515,150820180180,"Köthen (Anhalt), Stadt",Gemeinde,13447,6878,4359,1311,595,214,89,6878,3407,1633,1136,393,6878,4170,–,870,948,190,393,4225,780,8444,15082180
20220515,150820241241,Muldestausee,Gemeinde,5576,1784,2332,830,483,100,46,1784,2105,1176,442,69,1784,2744,–,535,328,113,69,1731,649,3193,15082241
20220515,150820256256,Osternienburger Land,Gemeinde,3722,1165,1486,610,325,88,46,1165,1289,913,292,64,1165,1852,–,347,234,60,64,982,454,2293,15082256
20220515,150820301301,"Raguhn-Jeßnitz, Stadt",Gemeinde,4270,1461,1755,620,308,92,38,1461,1512,855,366,82,1461,1944,–,422,286,81,82,1283,449,2536,15082301
20220515,150820340340,"Sandersdorf-Brehna, Stadt",Gemeinde,7285,2980,2742,948,443,132,42,2980,2364,1279,548,115,2980,2976,–,666,445,103,115,2310,635,4339,15082340
20220515,150820377377,"Südliches Anhalt, Stadt",Gemeinde,6109,1946,2457,963,531,131,82,1946,2148,1363,530,119,1946,2962,3,550,422,105,119,1692,740,3677,15082377
20220515,150820430430,"Zerbst/Anhalt, Stadt",Gemeinde,10899,4673,3903,1364,677,190,98,4673,3212,1831,970,214,4673,4149,3,889,784,185,214,3186,947,6766,15082430
20220515,150820440440,"Zörbig, Stadt",Gemeinde,4281,1427,1669,691,346,103,44,1427,1449,963,362,84,1427,1982,–,430,285,75,84,1214,500,2566,15082440
20220515,150830040040,Barleben,Gemeinde,4329,1365,1767,690,399,81,31,1365,1523,1008,370,65,1365,2128,3,399,311,60,65,1183,428,2719,15083040
20220515,150830270270,"Haldensleben, Stadt",Gemeinde,9782,4274,3456,1200,583,188,78,4274,2856,1605,801,238,4274,3586,3,875,675,129,238,2698,764,6315,15083270
20220515,150830298298,Hohe Börde,Gemeinde,8745,2817,3318,1476,853,186,95,2817,2742,2229,797,161,2817,4072,4,897,653,141,161,1909,815,6021,15083298
20220515,150830390390,Niedere Börde,Gemeinde,3223,1017,1298,526,285,70,32,1017,1136,752,264,55,1017,1626,–,260,197,67,55,792,369,2062,15083390
20220515,150830411411,"Oebisfelde-Weferlingen, Stadt",Gemeinde,6360,2496,2220,925,550,106,61,2496,1832,1328,566,139,2496,2639,–,520,434,135,139,1632,623,4104,15083411
20220515,150830415415,"Oschersleben (Bode), Stadt",Gemeinde,9521,4365,3321,1044,528,187,78,4365,2696,1420,854,188,4365,3403,3,710,670,181,188,2804,771,5945,15083415
20220515,150830490490,Sülzetal,Gemeinde,4036,1254,1601,720,358,79,25,1254,1410,1018,303,56,1254,2054,3,372,247,54,56,1086,412,2539,15083490
20220515,150830531531,"Wanzleben-Börde, Stadt",Gemeinde,6670,2440,2502,958,525,165,75,2440,2122,1449,534,120,2440,2950,3,621,434,102,120,1782,683,4205,15083531
20220515,150830565565,"Wolmirstedt, Stadt",Gemeinde,6128,2501,2217,815,436,106,58,2501,1825,1103,541,158,2501,2396,3,527,465,80,158,1685,497,3945,15083565
20220515,150835051030,Angern,Gemeinde,940,315,369,131,90,29,9,315,327,218,72,14,315,441,–,96,56,14,14,257,107,576,15083030
20220515,150835051120,Burgstall,Gemeinde,655,208,260,90,73,17,9,208,229,156,56,11,208,314,–,71,41,12,11,181,96,376,15083120
20220515,150835051130,Colbitz,Gemeinde,1598,491,657,272,141,26,16,491,587,372,127,20,491,816,–,142,106,24,20,452,163,984,15083130
