ags,wahlkreis,wahlbezirk,gemeinde,name,wahlart,linke,spd,gruene,summe,gueltige_zweitstimmen,anteil_prozent,mehr_als_50_prozent
15086140,006,000007,"Möckern, Stadt","Möckern, Friedensau, Seniorenheim, Ahornstraße 1",U,7,35,19,61,121,50.413223140495866,True
15003000,010,009041,"Magdeburg, Landeshauptstadt",Briefwahlvorstand im Wahlkreis 10 (9041),B,105,144,216,465,796,58.41708542713568,True
15003000,010,009042,"Magdeburg, Landeshauptstadt",Briefwahlvorstand im Wahlkreis 10 (9042),B,119,109,158,386,672,57.44047619047619,True
15003000,010,009043,"Magdeburg, Landeshauptstadt",Briefwahlvorstand im Wahlkreis 10 (9043),B,143,118,234,495,826,59.9273607748184,True
15003000,011,000101,"Magdeburg, Landeshauptstadt",Forum Gestaltung,U,90,84,113,287,567,50.617283950617285,True
15003000,011,000108,"Magdeburg, Landeshauptstadt",Hegel-Gymnasium,U,77,73,160,310,611,50.736497545008184,True
15003000,011,000109,"Magdeburg, Landeshauptstadt",Hegel-Gymnasium,U,86,57,195,338,529,63.89413988657845,True
15003000,011,000110,"Magdeburg, Landeshauptstadt",Hegel-Gymnasium,U,75,53,182,310,481,64.44906444906445,True
15003000,011,002401,"Magdeburg, Landeshauptstadt",Seniorenresidenz Adelheidring,U,94,102,167,363,706,51.41643059490085,True
15003000,011,002402,"Magdeburg, Landeshauptstadt",Grundschule Annastraße,U,85,65,148,298,570,52.280701754385966,True
15003000,011,002405,"Magdeburg, Landeshauptstadt",BBS Eike von Repgow,U,89,62,125,276,510,54.11764705882353,True
15003000,011,002407,"Magdeburg, Landeshauptstadt",Grundschule Annastraße,U,73,63,148,284,493,57.606490872210955,True
15003000,011,002408,"Magdeburg, Landeshauptstadt",Salzmannschule,U,82,81,196,359,654,54.89296636085627,True
15003000,011,002411,"Magdeburg, Landeshauptstadt",Evangelische Grundschule,U,71,89,152,312,580,53.793103448275865,True
15003000,011,002412,"Magdeburg, Landeshauptstadt",IGS Willy Brandt,U,99,40,126,265,523,50.669216061185466,True
15003000,011,002413,"Magdeburg, Landeshauptstadt",Evangelische Grundschule,U,96,63,174,333,565,58.93805309734513,True
15003000,011,002414,"Magdeburg, Landeshauptstadt",Grundschule Am Westring,U,59,65,142,266,494,53.84615384615385,True
15003000,011,002415,"Magdeburg, Landeshauptstadt",Grundschule Annastraße,U,92,77,201,370,650,56.92307692307692,True
