row_key,ags,municipality_name,gebietsart,gebietsnummer,wahlkreisnummer,wahlbezirk_name,wahllokal,reported_precincts,total_precincts,voters_total,valid_votes_erst,valid_votes_zweit,voters_total_2021,valid_votes_erst_2021,valid_votes_zweit_2021,delta_voters_total_vs_2021,delta_valid_votes_erst_vs_2021,delta_valid_votes_zweit_vs_2021,payload_hash,is_municipality_summary
mv:WAHLBEZIRK:13003000:4:1,13003000,"Rostock, Hanse-und Universitätsstadt",WAHLBEZIRK,1,4,,,0,1,0,0,0,,,,,,,7874fee81863627559b746bd875bceb1b2e4495f3aef200e65681f19614952ba,False
mv:WAHLBEZIRK:13003000:4:121,13003000,"Rostock, Hanse-und Universitätsstadt",WAHLBEZIRK,121,4,,,0,1,0,0,0,,,,,,,acf36f64d8dcb96f99909d2c68d8c2668d2abd74275f19966c5fa76fe6e0a0fb,False
mv:WAHLBEZIRK:13003000:4:122,13003000,"Rostock, Hanse-und Universitätsstadt",WAHLBEZIRK,122,4,,,0,1,0,0,0,,,,,,,59703b776a615ca59a26e66f9ead5f8c182d0a51711b7706f8ef30e24c931362,False
mv:WAHLBEZIRK:13003000:4:123,13003000,"Rostock, Hanse-und Universitätsstadt",WAHLBEZIRK,123,4,,,0,1,0,0,0,,,,,,,68a345f31b8d02d50514fdc749046b70c2679b2c0dfc49d46bdd0f25207e43c7,False
mv:WAHLBEZIRK:13003000:4:124,13003000,"Rostock, Hanse-und Universitätsstadt",WAHLBEZIRK,124,4,,,0,1,0,0,0,,,,,,,549053c2602a24c073597381ae87be054face7eeff3a6daaa15ffe585d34bf0e,False
mv:WAHLBEZIRK:13003000:4:125,13003000,"Rostock, Hanse-und Universitätsstadt",WAHLBEZIRK,125,4,,,0,1,0,0,0,,,,,,,c955a8e8d0b87d72bd189283394ae3547ac6b34535aadb52c80dbca43eabd207,False
mv:WAHLBEZIRK:13003000:4:2,13003000,"Rostock, Hanse-und Universitätsstadt",WAHLBEZIRK,2,4,,,0,1,0,0,0,,,,,,,438df4851c42d6621bdd94a6cd6866755a8579363f334daf2caa76df456ecf7c,False
mv:WAHLBEZIRK:13003000:4:21,13003000,"Rostock, Hanse-und Universitätsstadt",WAHLBEZIRK,21,4,,,0,1,0,0,0,,,,,,,a56e73cd055b74b98b6ac178f99135169f7c7494d47b16a12a86fdfe529ae181,False
mv:WAHLBEZIRK:13003000:4:3,13003000,"Rostock, Hanse-und Universitätsstadt",WAHLBEZIRK,3,4,,,0,1,0,0,0,,,,,,,2d25c541d5c60566912aae58e59f5444e8f831e3b91ff3875b6bc81cd5b4c8cf,False
mv:WAHLBEZIRK:13003000:4:4,13003000,"Rostock, Hanse-und Universitätsstadt",WAHLBEZIRK,4,4,,,0,1,0,0,0,,,,,,,fbec3e60e0deeecf823cf005143f83be3408787d6d04a4bf40e95b4fa54cba1b,False
mv:WAHLBEZIRK:13003000:4:41,13003000,"Rostock, Hanse-und Universitätsstadt",WAHLBEZIRK,41,4,,,1,1,718,712,713,,,,,,,cfb2ecd8fb7db1c007a42624f2ed833990950a22fb594bb450f2f12aa4fa1bdc,False
mv:WAHLBEZIRK:13003000:4:42,13003000,"Rostock, Hanse-und Universitätsstadt",WAHLBEZIRK,42,4,,,0,1,0,0,0,,,,,,,4e230a01739f5ce4af09f2a04a0c85b3330f177f03b1bf056a1798e40e7aed85,False
mv:WAHLBEZIRK:13003000:4:43,13003000,"Rostock, Hanse-und Universitätsstadt",WAHLBEZIRK,43,4,,,0,1,0,0,0,,,,,,,581cb218ecc2adb90cf87ce67f5fa19e7bd7169d1b2f557c83f162043e504462,False
mv:WAHLBEZIRK:13003000:4:44,13003000,"Rostock, Hanse-und Universitätsstadt",WAHLBEZIRK,44,4,,,0,1,0,0,0,,,,,,,d75c62ce1538935c7554eb978ff2f3c8ac0342f58c93867598c2d005f6b28a4d,False
mv:WAHLBEZIRK:13003000:4:45,13003000,"Rostock, Hanse-und Universitätsstadt",WAHLBEZIRK,45,4,,,0,1,0,0,0,,,,,,,44e124c6bbd07a2545b64b6cb0f0c28563ef7fd5769bb22c8cb855fbd00b1b89,False
mv:WAHLBEZIRK:13003000:4:46,13003000,"Rostock, Hanse-und Universitätsstadt",WAHLBEZIRK,46,4,,,0,1,0,0,0,,,,,,,2d123c096f316ef9bf33e4ef925ddf4f8e60fe2c10870620aa75ad3e5baca103,False
mv:WAHLBEZIRK:13003000:4:47,13003000,"Rostock, Hanse-und Universitätsstadt",WAHLBEZIRK,47,4,,,1,1,584,581,580,,,,,,,4fd606759528fb7c65e28f1612e4ad97a90f769e9cfa33c017f1f26170dd206f,False
mv:WAHLBEZIRK:13003000:4:48,13003000,"Rostock, Hanse-und Universitätsstadt",WAHLBEZIRK,48,4,,,0,1,0,0,0,,,,,,,2274e98990504867eab75a8fa51e8e84f083f5034ea64b35b8b13b39e7072846,False
mv:WAHLBEZIRK:13003000:4:49,13003000,"Rostock, Hanse-und Universitätsstadt",WAHLBEZIRK,49,4,,,0,1,0,0,0,,,,,,,19fdf6930b4e2924510c4566c9246633955d03e9f2963734f92b76c48ec1da85,False
