id,wk,ags,name,precincts,counted_precincts,valid_zweit,cdu_zweit,last_changed
1000000000000,100,00000000,Bezirk 1,1277,1277,538766.0,185417.0,2026-03-26 18:26:34
2000000000000,200,00000000,Bezirk 2,1404,1404,475918.0,165955.0,2026-03-26 12:39:07
3000000000000,300,00000000,Bezirk 3,989,989,497756.0,136023.0,2026-03-25 17:19:45
4000000000000,400,00000000,Bezirk 4,1022,1022,515790.0,140559.0,2026-03-25 14:02:07
0001310000000,000,13100000,"Ahrweiler, Landkreis",145,145,65721.0,25965.0,2026-03-26 18:26:34
0001320000000,000,13200000,"Altenkirchen, Landkreis",170,170,63895.0,22486.0,2026-03-25 14:36:44
0001330000000,000,13300000,"Bad Kreuznach, Landkreis",160,160,78816.0,24030.0,2026-03-23 16:25:51
0001370000000,000,13700000,"Mayen-Koblenz, Landkreis",219,219,106758.0,37534.0,2026-03-25 09:08:54
0001380000000,000,13800000,"Neuwied, Landkreis",195,195,85245.0,28755.0,2026-03-26 11:57:30
0001400000000,000,14000000,"Rhein-Hunsrück-Kreis, Landkreis",195,195,56798.0,19053.0,2026-03-25 08:28:51
0001410000000,000,14100000,"Rhein-Lahn-Kreis, Landkreis",179,179,62880.0,18580.0,2026-03-25 11:36:14
0001430000000,000,14300000,"Westerwaldkreis, Landkreis",247,247,104588.0,36731.0,2026-03-26 09:36:01
0002310000000,000,23100000,"Bernkastel-Wittlich, Landkreis",158,158,58815.0,22638.0,2026-03-24 12:00:29
0002350000000,000,23500000,"Trier-Saarburg, Landkreis",177,177,78399.0,28529.0,2026-03-26 12:39:07
0003310000000,000,33100000,"Alzey-Worms, Landkreis",128,128,70193.0,18258.0,2026-03-25 17:19:45
0003320000000,000,33200000,"Bad Dürkheim, Landkreis",108,108,75118.0,22384.0,2026-03-23 15:37:11
0003340000000,000,33400000,"Germersheim, Landkreis",100,100,64253.0,18047.0,2026-03-25 13:36:21
0003350000000,000,33500000,"Kaiserslautern, Landkreis",106,106,54160.0,15182.0,2026-03-24 10:54:00
