ags,public_precincts,public_valid_zweit,public_cdu_zweit,official_precincts,official_valid_zweit,official_cdu_zweit,valid_diff,cdu_diff,precinct_diff
13100077,4.0,3545.0,1173.0,10.0,7940.0,2885.0,4395.0,1712.0,6.0
31700000,34.0,12349.0,3011.0,45.0,16727.0,4354.0,4378.0,1343.0,11.0
23205503,0.0,0.0,0.0,1.0,80.0,24.0,80.0,24.0,1.0
13701088,8.0,2780.0,909.0,8.0,2814.0,959.0,34.0,50.0,0.0
11100000,122.0,49665.0,15365.0,122.0,49679.0,15366.0,14.0,1.0,0.0
33207021,1.0,1003.0,287.0,1.0,1012.0,287.0,9.0,0.0,0.0
23507094,4.0,1484.0,465.0,4.0,1486.0,466.0,2.0,1.0,0.0
13505019,1.0,991.0,401.0,1.0,993.0,401.0,2.0,0.0,0.0
13804041,3.0,2818.0,1098.0,3.0,2820.0,1098.0,2.0,0.0,0.0
23508140,1.0,117.0,53.0,1.0,118.0,55.0,1.0,2.0,0.0
33404030,2.0,1253.0,342.0,2.0,1254.0,343.0,1.0,1.0,0.0
13306014,1.0,227.0,46.0,1.0,228.0,46.0,1.0,0.0,0.0
13310116,1.0,102.0,27.0,1.0,103.0,27.0,1.0,0.0,0.0
14111126,1.0,419.0,119.0,1.0,420.0,119.0,1.0,0.0,0.0
14306244,1.0,108.0,19.0,1.0,109.0,19.0,1.0,0.0,0.0
23507051,2.0,1036.0,421.0,2.0,1037.0,421.0,1.0,0.0,0.0
23508118,9.0,3720.0,1444.0,9.0,3721.0,1444.0,1.0,0.0,0.0
33100003,15.0,8582.0,2115.0,15.0,8583.0,2115.0,1.0,0.0,0.0
33101020,1.0,706.0,159.0,1.0,707.0,159.0,1.0,0.0,0.0
33405006,1.0,614.0,164.0,1.0,615.0,164.0,1.0,0.0,0.0
33608072,1.0,88.0,26.0,1.0,89.0,26.0,1.0,0.0,0.0
33702005,4.0,3630.0,841.0,4.0,3631.0,841.0,1.0,0.0,0.0
34001010,1.0,216.0,60.0,1.0,217.0,60.0,1.0,0.0,0.0
13401005,2.0,1635.0,395.0,2.0,1635.0,401.0,0.0,6.0,0.0
13100070,10.0,7827.0,2622.0,10.0,7827.0,2622.0,0.0,0.0,0.0
13100090,11.0,6037.0,2428.0,11.0,6037.0,2428.0,0.0,0.0,0.0
13101004,1.0,310.0,139.0,1.0,310.0,139.0,0.0,0.0,0.0
13101005,1.0,143.0,51.0,1.0,143.0,51.0,0.0,0.0,0.0
13101008,1.0,241.0,125.0,1.0,241.0,125.0,0.0,0.0,0.0
13101009,1.0,28.0,14.0,1.0,28.0,14.0,0.0,0.0,0.0
13101015,1.0,50.0,21.0,1.0,50.0,21.0,0.0,0.0,0.0
13101018,1.0,112.0,46.0,1.0,112.0,46.0,0.0,0.0,0.0
